Date,Ticker,Open,High,Low,Close,Volume
2025-02-24,ABBA,21,21,20,21,1162500
2025-02-24,ABMM,3310,3320,3260,3300,439500
2025-02-24,ACRO,71,71,69,69,4101500
2025-02-24,ACST,84,84,82,83,1065100
2025-02-24,ADHI,200,200,193,196,4388800
2025-02-24,ADMG,106,106,105,106,42300
2025-02-24,ADMR,830,830,810,815,15761700
2025-02-24,ADRO,2180,2220,2150,2190,25614100
2025-02-24,AGII,1325,1325,1315,1320,2400
2025-02-24,AGRO,204,204,197,199,5253800
2025-02-24,AHAP,81,81,76,79,6035000
2025-02-24,AKPI,600,620,595,615,20600
2025-02-24,AKSI,184,184,180,181,81100
2025-02-24,ALTO,17,17,17,17,26700
2025-02-24,AMAN,100,100,99,100,734900
2025-02-24,AMAR,164,164,160,163,474200
2025-02-24,AMFG,3800,3990,3800,3970,20800
2025-02-24,ANTM,1630,1675,1630,1640,52458900
2025-02-24,APEX,113,116,112,115,1126000
2025-02-24,APII,173,173,171,171,17200
2025-02-24,APLN,96,96,92,94,20085400
2025-02-24,ARNA,645,650,640,650,521800
2025-02-24,ARTO,2050,2050,1950,1955,2059500
2025-02-24,ASJT,112,113,111,113,19000
2025-02-24,ASLC,80,80,77,78,8409000
2025-02-24,ASMI,11,12,11,12,24500
2025-02-24,ASRI,136,137,131,131,43095600
2025-02-24,ATIC,570,675,560,670,5036000
2025-02-24,ATLA,50,50,50,50,187100
2025-02-24,AWAN,300,324,294,308,60737500
2025-02-24,AYLS,87,89,85,87,2854500
2025-02-24,BABP,51,51,50,50,15417000
2025-02-24,BACA,130,131,130,130,719100
2025-02-24,BAPA,53,54,52,53,867600
2025-02-24,BBHI,695,745,690,705,2527400
2025-02-24,BBKP,51,51,50,50,21323800
2025-02-24,BBSS,176,179,176,176,1700
2025-02-24,BCAP,52,54,52,53,5503800
2025-02-24,BCIP,52,52,51,51,1178400
2025-02-24,BDMN,2520,2520,2470,2490,610100
2025-02-24,BEEF,122,122,117,119,1000900
2025-02-24,BEKS,27,28,27,27,17834400
2025-02-24,BELL,53,56,53,56,388200
2025-02-24,BEST,95,96,93,93,4579900
2025-02-24,BGTG,69,70,68,69,2114200
2025-02-24,BINA,4120,4150,4120,4140,2100
2025-02-24,BINO,138,140,136,139,2314900
2025-02-24,BIPI,81,83,80,80,92272700
2025-02-24,BISI,1170,1170,1115,1135,166400
2025-02-24,BJBR,895,900,870,870,5552300
2025-02-24,BJTM,535,540,500,515,44719000
2025-02-24,BKSW,57,57,56,57,2166500
2025-02-24,BLES,248,250,244,246,3696200
2025-02-24,BMRI,5050,5075,4980,5025,127578500
2025-02-24,BMSR,312,312,308,308,130500
2025-02-24,BMTR,172,173,169,169,33357500
2025-02-24,BOBA,170,187,169,177,1396500
2025-02-24,BOGA,640,660,635,650,548100
2025-02-24,BOLA,93,93,90,91,162300
2025-02-24,BPTR,77,79,75,78,20500
2025-02-24,BREN,6900,6900,6300,6300,23643300
2025-02-24,BRIS,3030,3070,2990,3070,18359200
2025-02-24,BRMS,416,428,410,418,446693000
